Index,SMU-1 Time (s),SMU-1 Resistance (Ω),SMU-1 Voltage (V),SMU-1 Current (A)
1,0,690.7217938,2.708056927,0.003920619
,0.0002,659.5550346,4.991375446,0.007567792
,0.0004,642.4534873,4.998558044,0.00778042
,0.0006,630.3527048,4.99761343,0.007928281
,0.0008,620.5426268,4.997560978,0.008053534
,0.001,612.1992173,4.997499943,0.008163192
,0.0012,604.8821204,4.997694969,0.008262263
,0.0014,598.4164405,4.997648239,0.008351455
,0.0016,592.486809,4.997831345,0.008435346
,0.0018,587.1392287,4.997668743,0.008511897
,0.002,582.1405532,4.997724056,0.008585081
,0.0022,577.4170977,4.997709274,0.008655285
,0.0024,573.1644271,4.997828484,0.008719712
,0.0026,568.8263678,4.997767448,0.008786104
,0.0028,564.9058611,4.997706413,0.008846972
,0.003,561.2182142,4.997941971,0.008905523
,0.0032,557.6863906,4.997700691,0.008961489
,0.0034,554.5380767,4.997927189,0.009012775
,0.0036,551.3999853,4.997776031,0.009063794
,0.0038,548.3874781,4.997802258,0.009113633
,0.004,545.5395201,4.997915745,0.009161418
,0.0042,542.900908,4.997889519,0.009205896
,0.0044,540.3194287,4.99790144,0.009249901
,0.0046,537.7605142,4.997753143,0.009293641
,0.0048,535.3304753,4.997991562,0.009336273
,0.005,532.9821064,4.99777317,0.009377
,0.0052,530.6994607,4.998037815,0.009417831
,0.0054,528.4398036,4.997872353,0.009457789
,0.0056,526.3057691,4.997904301,0.009496199
,0.0058,524.2230759,4.997959137,0.009534031
,0.006,522.2188199,4.997875214,0.009570462
,0.0062,520.252162,4.998029232,0.009606936
,0.0064,518.3330793,4.997863293,0.009642185
,0.0066,516.3900112,4.997863293,0.009678466
,0.0068,514.5988382,4.997883797,0.009712194
,0.007,512.7546937,4.997933388,0.009747221
,0.0072,510.9142341,4.997814178,0.0097821
,0.0074,509.1945702,4.997857571,0.009815222
,0.0076,507.4006613,4.997880936,0.009849969
,0.0078,505.6213911,4.997848988,0.009884568
,0.008,503.8013954,4.998011589,0.009920599
,0.0082,501.9989886,4.997840405,0.009955877
,0.0084,500.2865413,4.997997284,0.009990269
,0.0086,498.6636931,4.997822762,0.010022432
,0.0088,497.084284,4.997965336,0.010054563
,0.009,495.4090293,4.997889519,0.01008841
,0.0092,493.7285066,4.997857571,0.010122684
,0.0094,492.167633,4.998003006,0.010155083
,0.0096,490.592753,4.997846127,0.010187362
,0.0098,489.0788159,4.997965336,0.010219141
,0.01,487.0429839,3.095770836,0.006356258
,0.0102,534.0308594,0.516597629,0.000967355
,0.0104,561.3656476,0.498173654,0.000887432
,0.0106,577.0280322,0.49909234,0.000864936
,0.0108,589.0456034,0.499150485,0.000847389
,0.011,599.1727288,0.499156326,0.000833076
,0.0112,607.2886699,0.499234855,0.000822072
,0.0114,614.3396816,0.49913305,0.000812471
,0.0116,619.9586044,0.499156326,0.000805145
,0.0118,625.0885522,0.49904874,0.000798365
,0.012,629.0924879,0.499141783,0.000793431
,0.0122,633.2418141,0.499057472,0.000788099
,0.0124,636.8468655,0.49913305,0.000783757
,0.0126,639.8401118,0.499144673,0.000780108
,0.0128,642.7479181,0.498973161,0.000776312
,0.013,645.3056913,0.4992145,0.000773609
,0.0132,648.0454395,0.49900803,0.00077002
,0.0134,649.359067,0.499156326,0.000768691
,0.0136,651.8859894,0.499057472,0.000765559
,0.0138,654.170581,0.499086529,0.00076293
,0.014,655.4637447,0.499095261,0.000761438
,0.0142,656.7659451,0.498990595,0.000759769
,0.0144,657.9885826,0.499054551,0.000758455
,0.0146,659.47763,0.498976052,0.000756623
,0.0148,660.6703008,0.499156326,0.00075553
,0.015,661.9215995,0.498938262,0.000753772
,0.0152,663.0611579,0.499121428,0.000752753
,0.0154,663.8874891,0.49900803,0.000751645
,0.0156,664.889166,0.499034196,0.000750552
,0.0158,665.5861771,0.499095261,0.000749858
,0.016,666.5996991,0.498978972,0.000748544
,0.0162,666.8295211,0.499121428,0.000748499
,0.0164,667.811188,0.498958617,0.000747155
,0.0166,668.3764673,0.499074906,0.000746697
,0.0168,669.2891975,0.499005139,0.000745575
,0.017,669.6871552,0.499054551,0.000745205
,0.0172,669.9253462,0.499083638,0.000744984
,0.0174,670.3874245,0.499101073,0.000744496
,0.0176,671.0594392,0.499066174,0.000743699
,0.0178,671.5165848,0.498949885,0.000743019
,0.018,672.2592296,0.499124348,0.000742458
,0.0182,672.341026,0.498996407,0.000742178
,0.0184,673.0436619,0.49913016,0.000741601
,0.0186,673.323168,0.498999327,0.000741099
,0.0188,673.7833786,0.499121428,0.000740774
,0.019,673.9561225,0.498990595,0.00074039
,0.0192,674.2974815,0.498964429,0.000739977
,0.0194,674.3997259,0.499109805,0.00074008
,0.0196,675.2314137,0.49896735,0.000738958
,0.0198,675.3707158,0.49913016,0.000739046
,0.02,675.9610358,0.49896735,0.00073816
,0.0202,676.3784391,0.499115616,0.000737924
,0.0204,676.3587304,0.499101073,0.000737924
,0.0206,676.6961569,0.49897024,0.000737362
,0.0208,676.57488,0.499080718,0.000737658
,0.021,677.4696875,0.49897024,0.00073652
,0.0212,677.7341581,0.499165028,0.00073652
,0.0214,677.9197095,0.498941183,0.000735989
,0.0216,677.8165783,0.499115616,0.000736358
,0.0218,678.2946468,0.499016762,0.000735693
,0.022,678.0443316,0.499042928,0.000736003
,0.0222,678.7042328,0.499057472,0.000735309
,0.0224,678.4941833,0.498973161,0.000735413
,0.0226,678.5780195,0.499074906,0.000735472
,0.0228,679.2409312,0.498990595,0.00073463
